Posted Date,Job Title,Skill,Company,Workplace,Company Type,Company Industry,Company Size,Country
2024-10-17 20:49:55.599354,Systems Compliance Administrator,System Admin,MiTek Viet Nam,At office,IT Product,Software Products and Web Services,1000+,United States
2024-10-17 20:49:55.599354,[Hybrid working] Solution Architect- Up to 3500$,Solution Architect,SHBFinance,Hybrid,IT Product,Financial Services,1000+,Vietnam
2024-10-17 20:49:55.599354,"Site Reliability Engineer (DevOps, Golang)",DevOps,Grab (Vietnam) Ltd.,Hybrid,IT Product,"Transportation, Logistics and Warehouse",501-1000,Singapore
2024-10-17 20:49:55.599354,[Hybrid or Remote] - Fullstack Dev (.NET),.NET,Yet Company,Hybrid,IT Product,IT Services and IT Consulting,51-150,Japan
2024-10-17 20:49:55.599354,"Web & Mobile Developer (ReactNative, Flutter, English)",React Native,Titan DMS,Hybrid,IT Product,Software Development Outsourcing,51-150,Australia
2024-10-17 20:49:55.599354,Backend Developer (Java/Spring) - Khối Ngân hàng số,Java,MB Bank,At office,IT Product,N/A,1000+,Vietnam
2024-10-17 20:49:55.599354,Java Senior/Principal Software Engineer (Spring),Java,Rakus Vietnam Company,At office,IT Product,Software Products and Web Services,51-150,Japan
2024-10-17 20:49:55.599354,"DevOps Engineer (K8s, CI/CD, Observability)",DevOps,NFQ Asia,Hybrid,IT Outsourcing,Software Development Outsourcing,301-500,Germany
2024-10-17 20:49:55.599354,Golang / TypeScript - International - 100% Home-Office,Golang,Modern Coding,Hybrid,IT Product,Software Products and Web Services,1-50,Vietnam
2024-10-16 20:49:55.599354,Senior DevOps Engineer,DevOps,Ingenico Vietnam,At office,IT Product,IT Services and IT Consulting,1000+,Vietnam
2024-10-16 20:49:55.599354,"DevOps Engineer (AWS, English required)",AWS,ekino Vietnam,At office,IT Service and IT Consulting,IT Services and IT Consulting,151-300,France
2024-10-16 20:49:55.599354,Engineering Manager,Manager,FuelCloud,At office,IT Product,Software Products and Web Services,1-50,United States
2024-10-16 20:49:55.599354,Senior Data Engineer,Python,Global Fashion Group,Hybrid,IT Product,Apparel and Fashion,1000+,United Kingdom
2024-10-16 20:49:55.599354,Senior Data Scientist,Python,Global Fashion Group,Hybrid,IT Product,Apparel and Fashion,1000+,United Kingdom
2024-10-16 20:49:55.599354,Developer BPM/ECM,JavaScript,ABBANK,At office,Non-IT,Banking,1000+,Vietnam
2024-10-16 20:49:55.599354,Solution Architect (Agile),Solution Architect,ABBANK,At office,Non-IT,Banking,1000+,Vietnam
2024-10-16 20:49:55.599354,Application Integration Development Specialist (API),Oracle,ABBANK,At office,Non-IT,Banking,1000+,Vietnam
2024-10-16 20:49:55.599354,IT Enterprise Architect (Solution Architect),Solution Architect,ABBANK,At office,Non-IT,Banking,1000+,Vietnam
2024-10-16 20:49:55.599354,"Lead Product Manager, Data Platforms",Product Manager,Grab (Vietnam) Ltd.,Hybrid,IT Product,"Transportation, Logistics and Warehouse",501-1000,Singapore
2024-10-16 20:49:55.599354,CG Nghiên cứu và phát triển nền tảng (Devops/AI/ML),DevOps,Ngân hàng TMCP Lộc Phát Việt Nam LPBank,At office,IT Product,Banking,1000+,Vietnam
2024-10-16 20:49:55.599354,Solution Architect ( Java) Up to 5000$,Solution Architect,Ngân hàng TMCP Lộc Phát Việt Nam LPBank,At office,IT Product,Banking,1000+,Vietnam
2024-10-16 20:49:55.599354,MLOps Engineer,Python,Renesas Design Vietnam,Hybrid,IT Product,IT Hardware and Computing,1000+,Japan
2024-10-16 20:49:55.599354,Presales - IT Consultant,Presale,Công ty CP An ninh mạng Quốc gia Việt Nam,At office,IT Product,IT Services and IT Consulting,151-300,Vietnam
2024-10-16 20:49:55.599354,"Senior Frontend Software Engineer (VueJS, ReactJS)",VueJS,Koidra Tech,At office,IT Product,Environment,1-50,United States
2024-10-16 20:49:55.599354,Senior .NET Engineer (Windows Application),.NET,Koidra Tech,At office,IT Product,Environment,1-50,United States
2024-10-16 20:49:55.599354,"Systems Specialist (Oracle, SQL, MySQL) - Core Banking",System Admin,Kien Long Bank,At office,Non-IT,Banking,1000+,Vietnam
2024-10-16 20:49:55.599354,Chuyên viên/ Chuyên viên cao cấp Quản trị ANTT,Security,MB Bank,At office,IT Product,N/A,1000+,Vietnam
2024-10-16 20:49:55.599354,Chuyên viên/ Chuyên viên cao cấp Quản trị CSDL,Database,MB Bank,At office,IT Product,N/A,1000+,Vietnam
2024-10-16 20:49:55.599354,Chuyên viên/ Chuyên viên cao cấp Quản trị ứng dụng,System Engineer,MB Bank,At office,IT Product,N/A,1000+,Vietnam
2024-10-16 20:49:55.599354,Chuyên viên/ Chuyên viên cao cấp IT Service Management,Security,MB Bank,At office,IT Product,N/A,1000+,Vietnam
2024-10-16 20:49:55.599354,"Front End Developer ( Javascript, ReactJS, VueJS )",JavaScript,LG CNS Việt Nam,At office,IT Product,Manufacturing and Engineering,151-300,Vietnam
2024-10-16 20:49:55.599354,"Sr/Lead Fullstack Engineer (ReactJS, NodeJS, English)",NodeJS,"CyberLogitec Vietnam Co., Ltd.",At office,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,South Korea
2024-10-16 20:49:55.599354,"Engineering Manager (Cyber Security, DevOps)",Manager,Outpost24,At office,IT Product,Software Products and Web Services,1-50,Sweden
2024-10-16 20:49:55.599354,"System Engineer (Linux, Database, MySQL)",System Engineer,South Telecom,At office,IT Product,Telecommunication,51-150,Vietnam
2024-10-16 20:49:55.599354,"Bridge Software Engineer (BrSE, N2)",Bridge Engineer,DEHA Việt Nam,At office,IT Outsourcing,IT Services and IT Consulting,151-300,Vietnam
2024-10-16 20:49:55.599354,Software Engineer 2,C language,Microsoft Vietnam Limited Liability Company,Hybrid,IT Product,Software Products and Web Services,1000+,United States
2024-10-16 20:49:55.599354,Integration Lead (Java/Python),Java,TymeX,Remote,IT Product,Banking,301-500,Singapore
2024-10-16 20:49:55.599354,Lead Engineer (Java) - Integration Design & Governance,Java,NAB Innovation Centre Vietnam,Hybrid,IT Product,Banking,1000+,Australia
2024-10-16 20:49:55.599354,"[HCM] IT Security Engineer (System Engineer, DevOps)",Security,PAVE,Hybrid,IT Product,"Transportation, Logistics and Warehouse",51-150,Canada
2024-10-16 20:49:55.599354,DevOps Engineer,DevOps,PAL TECH,At office,IT Product,Software Products and Web Services,51-150,Singapore
2024-10-16 20:49:55.599354,C# Leader Developer (.NET),C#,Persol Career Tech Studio Vietnam,Hybrid,IT Product,Software Products and Web Services,1-50,Japan
2024-10-16 20:49:55.599354,Java Developer (ALL LEVEL),Java,MB Ageas Life,At office,IT Product,Financial Services,501-1000,Vietnam
2024-10-16 20:49:55.599354,Senior Embedded Engineer,Linux,5GenCare Việt Nam,At office,IT Product,IT Services and IT Consulting,1-50,Hong Kong
2024-10-16 20:49:55.599354,Java/Spring Boot Developer - Up to $1500,Java,Công ty TNHH FIN2B VN,At office,IT Service and IT Consulting,Financial Services,1-50,South Korea
2024-10-16 20:49:55.599354,"Embedded Network Engineer (C, Linux, >1.5Y), upto $1500",C language,MARUSYS VINA,At office,IT Product,Manufacturing and Engineering,51-150,South Korea
2024-10-16 20:49:55.599354,Senior Business Analyst,Business Analyst,Endava Việt Nam,Hybrid,IT Service and IT Consulting,IT Services and IT Consulting,1000+,United Kingdom
2024-10-16 20:49:55.599354,Fontend Developer ( JavaScript/ React/ VueJS +2YOE),JavaScript,Symper,At office,IT Product,Software Products and Web Services,1-50,Vietnam
2024-10-16 20:49:55.599354,Chuyên Gia Phân Tích và Hoạch Định Dữ Liệu,Database,Techcombank,At office,IT Product,Banking,1000+,Vietnam
2024-10-16 20:49:55.599354,Engineering Manager,Manager,NAB Innovation Centre Vietnam,Hybrid,IT Product,Banking,1000+,Australia
2024-10-16 20:49:55.599354,"[District 4, HCMC] Manual QA(QA QC, Tester, Device)",QA QC,YOONG,At office,IT Outsourcing,IT Services and IT Consulting,51-150,Vietnam
2024-10-16 20:49:55.599354,VTS- Ks giải pháp nghiệp vụ (Junior Business Analyst),Business Analyst,Viettel Group,At office,IT Product,Telecommunication,1000+,Vietnam
2024-10-16 20:49:55.599354,VTS - Chuyên viên Quản trị dự án (Project Manager),Project Manager,Viettel Group,At office,IT Product,Telecommunication,1000+,Vietnam
2024-10-16 20:49:55.599354,VTS - Junior Software Engineer (Java/ .Net/ JavaScript),Java,Viettel Group,At office,IT Product,Telecommunication,1000+,Vietnam
2024-10-16 20:49:55.599354,"Back End Developer (Java, MySQL, Spring)",Java,LG CNS Việt Nam,At office,IT Product,Manufacturing and Engineering,151-300,Vietnam
2024-10-16 20:49:55.599354,Kỹ sư an ninh thông tin (Security / Pentester),Security,VNPT Net Corporation,At office,IT Product,Telecommunication,1000+,Vietnam
2024-10-16 20:49:55.599354,Quản trị cơ sở dữ liệu DBA (Database/Oracle /Linux),Oracle,VNPT Net Corporation,At office,IT Product,Telecommunication,1000+,Vietnam
2024-10-16 20:49:55.599354,Kỹ sư chính sách ATTT (Security / Auditor),Security,VNPT Net Corporation,At office,IT Product,Telecommunication,1000+,Vietnam
2024-10-16 20:49:55.599354,Kiến trúc sư phần mềm SA (Java/ Spring/ C#),Java,VNPT Net Corporation,At office,IT Product,Telecommunication,1000+,Vietnam
2024-10-16 20:49:55.599354,Kỹ sư dữ liệu (Data Engineer/ Python/Java/ Database),Java,VNPT Net Corporation,At office,IT Product,Telecommunication,1000+,Vietnam
2024-10-15 20:49:55.599354,System Security,Security,ABBANK,At office,Non-IT,Banking,1000+,Vietnam
