Posted Date,Job Title,Main Skill 1,Main Skill 2,Main Skill 3,Company,Workplace,Address,Company Type,Company Industry,Company Size,Country,Working Days,Overtime Policy
2024-10-18 20:49:55.599354,"Java Backend Developer (Spring, SQL)",Java,SQL,Spring,ABBANK,At office,Ha Noi,Non-IT,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-18 20:49:55.599354,"DevOps Engineer (Python, AWS, Linux)",DevOps,Python,AWS,Techcom Securities,At office,Ha Noi,IT Product,Financial Services,151-300,Vietnam,Monday - Saturday,No OT
2024-10-18 20:49:55.599354,Service Desk Engineer,IT Support,Database,Networking,ELCA,At office,Ho Chi Minh,IT Service and IT Consulting,N/A,301-500,Switzerland,Monday - Friday,No OT
2024-10-18 20:49:55.599354,"UX Designer (UI-UX, Figma, Illustrator)",UI-UX,English,Designer,ABBANK,At office,Ha Noi,Non-IT,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Senior/Expert AWS Engineer (Cloud Center of Excellence),AWS,DevOps,DevSecOps,SMG Swiss Marketplace Group,Hybrid,Ho Chi Minh,IT Product,Software Products and Web Services,51-150,Switzerland,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Ruby On Rails Engineer (Senior/Tech Lead),Ruby on Rails,MySQL,PostgreSql,"MONEY FORWARD VIETNAM CO.,LTD",Hybrid,Ho Chi Minh,IT Product,Financial Services,301-500,Japan,Monday - Friday,No OT
2024-10-18 20:49:55.599354,"Senior Officer, Business Itelligence",Data Analyst,Python,Agile,Techcombank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Senior UI UX Designer,UI-UX,Designer,Product Designer,Simple Tech Investment,At office,Ho Chi Minh,IT Product,Financial Services,301-500,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Mid/Senior Quality Engineer,QA QC,Tester,Automation Test,NAB Innovation Centre Vietnam,Hybrid,Ha Noi,IT Product,Banking,1000+,Australia,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Quality Engineering Manager,Manager,Tester,Automation Test,NAB Innovation Centre Vietnam,Hybrid,Ha Noi,IT Product,Banking,1000+,Australia,Monday - Friday,No OT
2024-10-17 20:49:55.599354,"Middle Backend/Frontend Developer (Node.js, TypeScript)",NodeJS,JavaScript,NextJS,CÔNG TY CỔ PHẦN TQC SOLUTION,At office,Ha Noi,IT Product,IT Services and IT Consulting,1-50,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,IT - AI Solutions Architect,Solution Architect,Python,C#,Ngân Hàng Á Châu | ACB,At office,Ho Chi Minh,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,"DevOps Engineer (Cloud, AWS)",DevOps,AWS,Cloud,TymeX,Hybrid,Ho Chi Minh,IT Product,Banking,301-500,Singapore,Monday - Friday,No OT
